timestamp,message
1714073849654,"INIT_START Runtime Version: python:3.12.v25	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:eb23ce52a7ad2bcf849de9f8cb1e3bae200e62ddb9e03883cc29d7c7a5eade03
"
1714073849787,"START RequestId: c01c7973-36c5-4ca4-90c2-ccc7148e4a52 Version: $LATEST
"
1714073849788,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'order burger', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'proposedNextState': {'prompt': {'attempt': 'Initial'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}, 'dialogAction': {'type': 'ElicitSlot', 'slotToElicit': 'BurgerSize'}}, 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {}, 'transcriptionConfidence': 1.0, 'transcription': 'order burger'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073849788,"Validating BurgerSize Slot
"
1714073849788,"{'sessionState': {'dialogAction': {'slotToElicit': 'BurgerSize', 'type': 'ElicitSlot'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}}}}
"
1714073849796,"END RequestId: c01c7973-36c5-4ca4-90c2-ccc7148e4a52
"
1714073849796,"REPORT RequestId: c01c7973-36c5-4ca4-90c2-ccc7148e4a52	Duration: 9.18 ms	Billed Duration: 10 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	Init Duration: 131.87 ms	
"
1714073853001,"START RequestId: 77ab0f8f-a35f-4909-83eb-8efac9399f69 Version: $LATEST
"
1714073853002,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'double', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'proposedNextState': {'prompt': {'attempt': 'Initial'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}, 'dialogAction': {'type': 'ElicitSlot', 'slotToElicit': 'BurgerFranchise'}}, 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double']}}}, 'transcriptionConfidence': 1.0, 'transcription': 'double'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073853002,"Validating BurgerFranchise Slot
"
